Дата,Максимальная температура,Минимальная температура,Средняя температура,Атмосферное давление,Скорость ветра,Осадки,Эффективная температура
2009-01-01,-3.0,-9.0,-5.1,986.9,6.0,2.0,-11.2
2009-01-02,-8.0,-13.0,-11.0,989.0,6.0,0.0,-17.6
2009-01-03,-12.0,-14.0,-12.9,988.7,5.0,0.0,-19.0
2009-01-04,-12.0,-19.0,-15.1,988.2,3.0,1.0,-20.0
2009-01-05,-11.0,-17.0,-13.3,994.8,4.0,0.0,-18.8
2009-01-06,-8.0,-20.0,-12.6,994.0,6.0,0.0,-19.3
2009-01-07,-9.0,-12.0,-9.9,987.8,8.0,0.0,-17.8
2009-01-08,-11.0,-21.0,-13.9,991.6,4.0,1.0,-19.4
2009-01-09,-10.0,-20.0,-14.1,987.6,3.0,2.0,-19.0
2009-01-10,-12.0,-20.0,-15.1,1000.4,4.0,1.0,-20.7
2009-01-11,-1.0,-15.0,-7.3,1001.2,4.0,1.0,-12.2
2009-01-12,1.0,-1.0,-0.3,992.7,5.0,3.0,-5.2
2009-01-13,1.0,-4.0,-1.4,992.4,7.0,0.0,-8.0
2009-01-14,-1.0,-4.0,-2.1,996.1,5.0,0.0,-7.3
2009-01-15,-1.0,-4.0,-2.3,995.7,3.0,3.0,-6.1
2009-01-16,-1.0,-4.0,-2.6,995.7,3.0,2.0,-6.4
2009-01-17,-2.0,-4.0,-2.3,1006.3,8.0,1.0,-9.4
2009-01-18,-4.0,-7.0,-5.4,1000.5,6.0,1.0,-11.5
2009-01-19,-6.0,-9.0,-7.1,992.8,3.0,3.0,-11.4
2009-01-20,-5.0,-10.0,-6.6,998.5,2.0,1.0,-10.2
2009-01-21,-4.0,-11.0,-6.4,1005.4,3.0,3.0,-10.6
2009-01-22,1.0,-4.0,-1.3,1000.2,5.0,5.0,-6.3
2009-01-23,1.0,-1.0,0.4,989.9,5.0,4.0,-4.4
2009-01-24,-1.0,-3.0,-2.0,988.2,4.0,0.0,-6.4
2009-01-25,0.0,-1.0,-0.1,991.5,4.0,0.0,-4.2
2009-01-26,0.0,-5.0,-1.5,995.1,4.0,0.0,-5.8
2009-01-27,-1.0,-4.0,-2.1,998.0,1.0,1.0,-4.5
2009-01-28,0.0,-1.0,-0.4,998.5,2.0,1.0,-3.2
2009-01-29,1.0,-2.0,-0.6,994.2,4.0,6.0,-4.8
2009-01-30,-2.0,-12.0,-5.1,999.6,4.0,1.0,-9.9
2009-01-31,-12.0,-22.0,-16.8,1007.4,3.0,1.0,-21.9
2009-02-01,-17.0,-24.0,-21.0,1010.8,2.0,0.0,-25.7
2009-02-02,-13.0,-24.0,-17.9,1009.0,3.0,0.0,-23.0
2009-02-03,-8.0,-15.0,-12.2,1004.5,4.0,0.0,-17.6
2009-02-04,-6.0,-16.0,-10.3,992.6,3.0,7.0,-14.9
2009-02-05,-6.0,-15.0,-10.6,988.7,2.0,0.0,-14.6
2009-02-06,-9.0,-16.0,-12.0,991.7,3.0,0.0,-16.7
2009-02-07,-4.0,-9.0,-6.5,990.8,3.0,1.0,-10.7
2009-02-08,2.0,-3.0,0.4,990.7,4.0,0.0,-3.7
2009-02-09,2.0,0.0,0.9,990.0,5.0,2.0,-3.7
2009-02-10,0.0,-1.0,-0.1,987.1,5.0,2.0,-4.9
2009-02-11,-1.0,-3.0,-2.1,990.1,3.0,4.0,-5.9
2009-02-12,1.0,-2.0,-0.8,994.7,2.0,0.0,-3.8
2009-02-13,0.0,-1.0,-0.9,995.8,4.0,1.0,-5.2
2009-02-14,1.0,-2.0,-0.6,992.6,4.0,10.0,-4.8
2009-02-15,1.0,-1.0,0.4,992.2,3.0,10.0,-3.0
2009-02-16,1.0,-1.0,-0.3,993.8,4.0,1.0,-4.4
2009-02-17,0.0,-2.0,-0.6,993.9,3.0,3.0,-4.2
2009-02-18,1.0,-8.0,-0.9,998.0,4.0,4.0,-5.2
2009-02-19,-2.0,-13.0,-7.1,1008.6,2.0,0.0,-10.7
2009-02-20,-1.0,-8.0,-4.7,1010.5,3.0,1.0,-8.7
2009-02-21,-4.0,-13.0,-7.6,1014.6,4.0,0.0,-12.6
2009-02-22,-10.0,-18.0,-13.0,1010.3,4.0,0.0,-18.5
2009-02-23,-8.0,-18.0,-12.8,1004.4,3.0,0.0,-17.6
2009-02-24,-6.0,-19.0,-12.6,1005.3,1.0,0.0,-16.1
2009-02-25,-4.0,-14.0,-8.1,1000.5,4.0,0.0,-13.2
2009-02-26,-1.0,-4.0,-2.2,992.8,5.0,1.0,-7.3
2009-02-27,-1.0,-4.0,-2.4,990.1,5.0,2.0,-7.6
2009-02-28,0.0,-5.0,-2.4,990.0,4.0,2.0,-6.9
2009-03-01,0.0,-4.0,-1.6,991.9,3.0,1.0,-5.3
2009-03-02,0.0,-2.0,-1.4,992.4,6.0,1.0,-7.1
2009-03-03,1.0,-9.0,-2.4,995.3,4.0,0.0,-7.0
2009-03-04,-1.0,-11.0,-4.1,1000.1,2.0,0.0,-7.5
2009-03-05,1.0,-6.0,-1.7,1001.0,3.0,0.0,-5.6
2009-03-06,1.0,-5.0,-1.7,1000.8,3.0,0.0,-5.7
2009-03-07,0.9,-8.0,-3.9,998.3,5.0,0.0,-9.3
2009-03-08,-1.0,-4.0,-2.4,991.8,4.0,1.0,-6.8
2009-03-09,1.0,-1.0,-0.1,985.4,4.0,6.0,-4.2
2009-03-10,3.0,-1.0,0.2,981.5,2.0,1.0,-2.6
2009-03-11,3.0,0.0,0.8,990.1,3.0,2.0,-2.6
2009-03-12,4.0,-1.0,1.1,996.8,2.0,1.0,-1.7
2009-03-13,3.0,-4.0,-1.1,1000.7,2.0,0.0,-4.3
2009-03-14,4.0,-7.0,-2.4,1003.6,2.0,0.0,-5.8
2009-03-15,-1.0,-8.0,-4.4,1006.8,2.0,0.0,-7.9
2009-03-16,1.0,-5.0,-1.7,1007.9,1.0,1.0,-4.3
2009-03-17,4.0,-8.0,-1.2,1002.2,2.0,0.0,-4.5
2009-03-18,3.0,-7.0,-1.4,997.3,2.0,1.0,-4.7
2009-03-19,5.0,-6.0,-0.4,1000.3,2.0,1.0,-3.4
2009-03-20,3.0,-5.0,-0.8,1001.4,3.0,0.0,-4.5
2009-03-21,0.0,-4.0,-1.3,983.9,6.0,3.0,-7.0
2009-03-22,-1.0,-8.0,-4.6,979.5,4.0,1.0,-9.5
2009-03-23,0.0,-11.0,-4.8,979.4,3.0,0.0,-9.1
2009-03-24,0.0,-8.0,-3.2,978.7,5.0,1.0,-8.6
2009-03-25,3.0,-2.0,0.1,973.0,6.0,9.0,-5.4
2009-03-26,-1.0,-8.0,-2.9,983.6,5.0,0.0,-8.3
2009-03-27,1.0,-10.0,-3.3,995.7,4.0,0.0,-8.3
2009-03-28,5.0,-3.0,1.4,1001.5,4.0,0.0,-3.2
2009-03-29,7.0,-1.0,3.7,1002.3,5.0,0.0,-1.2
2009-03-30,7.0,3.0,4.3,999.8,4.0,3.0,0.4
2009-03-31,4.0,-1.0,2.3,998.6,3.0,3.0,-1.0
2009-04-01,7.0,-2.0,2.4,992.7,5.0,4.0,-2.2
2009-04-02,2.0,-2.0,0.6,996.0,6.0,3.0,-5.0
2009-04-03,2.0,-3.0,0.2,992.6,4.0,7.0,-4.0
2009-04-04,2.0,-7.0,-0.4,995.0,4.0,1.0,-4.9
2009-04-05,3.0,-7.0,0.1,996.0,3.0,1.0,-3.5
2009-04-06,8.0,1.0,4.2,991.3,3.0,0.0,1.1
2009-04-07,4.0,-3.0,1.1,995.3,4.0,1.0,-3.2
2009-04-08,4.0,-6.0,-1.1,1005.0,2.0,0.0,-4.7
2009-04-09,3.0,-6.0,-1.3,1007.7,4.0,0.0,-6.2
2009-04-10,4.0,-7.0,-0.7,1011.7,3.0,0.0,-4.9
2009-04-11,7.0,-3.0,2.7,1010.2,3.0,0.0,-1.2
2009-04-12,12.0,-1.0,5.7,1006.8,2.0,0.0,2.6
2009-04-13,14.0,-3.0,5.7,1003.7,2.0,0.0,2.7
2009-04-14,14.0,-2.0,7.1,998.6,2.0,0.0,4.2
2009-04-15,16.0,0.0,8.7,995.8,1.0,0.0,6.6
2009-04-16,5.0,-5.0,0.6,1000.2,5.0,1.0,-4.4
2009-04-17,7.0,-5.0,2.4,997.0,3.0,0.0,-1.5
2009-04-18,5.0,-3.0,2.5,982.4,6.0,7.0,-3.0
2009-04-19,4.0,-4.0,-0.4,996.2,6.0,0.0,-6.4
2009-04-20,6.0,-2.0,1.4,993.8,7.0,0.0,-5.1
2009-04-21,4.0,-4.0,-0.3,999.5,8.0,1.0,-7.6
2009-04-22,6.0,-5.0,0.6,1002.6,5.0,0.0,-4.8
2009-04-23,10.0,-5.0,3.9,998.1,4.0,0.0,-0.7
2009-04-24,12.0,-3.0,6.6,1001.1,3.0,0.0,3.0
2009-04-25,15.0,-1.0,8.7,1002.8,4.0,0.0,4.7
2009-04-26,20.0,3.0,12.9,1001.1,3.0,0.0,9.9
2009-04-27,22.0,5.0,15.1,1000.2,5.0,0.0,10.9
2009-04-28,23.0,7.0,16.2,998.5,5.0,0.0,12.0
2009-04-29,25.0,8.0,17.3,994.0,4.0,0.0,13.8
2009-04-30,14.0,3.0,8.4,994.7,6.0,0.0,3.6
2009-05-01,13.0,0.0,7.2,1001.8,6.0,0.0,1.6
2009-05-02,17.0,-1.0,10.1,1004.1,3.0,0.0,6.8
2009-05-03,21.0,3.0,14.0,1001.5,3.0,0.0,11.0
2009-05-04,24.0,6.0,15.3,997.0,2.0,0.0,13.1
2009-05-05,24.0,9.0,17.6,992.8,3.0,0.0,14.8
2009-05-06,22.0,7.0,14.9,989.7,3.0,1.0,12.5
2009-05-07,15.0,6.0,11.9,987.8,2.0,1.0,10.3
2009-05-08,20.0,7.0,13.4,995.5,2.0,0.0,11.6
2009-05-09,23.0,7.0,15.7,998.1,1.0,0.0,14.6
2009-05-10,21.0,8.0,15.3,1000.3,3.0,0.0,13.1
2009-05-11,23.0,7.0,16.1,997.8,2.0,0.0,14.6
2009-05-12,23.0,8.0,14.4,991.0,3.0,8.0,12.8
2009-05-13,20.0,7.0,12.8,980.5,5.0,6.0,9.8
2009-05-14,10.0,7.0,8.2,980.4,4.0,5.0,4.9
2009-05-15,12.0,6.0,8.0,985.6,2.0,9.0,6.2
2009-05-16,9.0,6.0,7.5,996.4,4.0,0.0,4.2
2009-05-17,12.0,5.0,8.8,999.9,3.0,0.0,6.0
2009-05-18,17.0,5.0,10.9,1001.1,3.0,0.0,8.0
2009-05-19,19.0,4.0,13.1,1000.9,3.0,0.0,10.4
2009-05-20,18.0,6.0,12.8,998.8,3.0,0.0,10.7
2009-05-21,17.0,7.0,12.3,997.8,3.0,1.0,10.2
2009-05-22,19.0,5.0,13.4,996.5,3.0,5.0,11.6
2009-05-23,18.0,8.0,13.3,981.6,5.0,18.0,10.6
2009-05-24,13.0,7.0,10.5,980.6,6.0,5.0,6.6
2009-05-25,17.0,6.0,11.4,984.7,5.0,1.0,7.7
2009-05-26,19.0,6.0,13.7,992.6,5.0,0.0,10.0
2009-05-27,23.0,8.0,17.6,998.1,4.0,0.0,14.9
2009-05-28,25.0,13.0,19.1,996.9,3.0,0.0,17.6
2009-05-29,25.0,13.0,18.4,1002.5,3.0,0.0,17.2
2009-05-30,23.0,10.0,17.1,1008.5,4.0,0.0,14.2
2009-05-31,24.0,9.0,18.2,1009.2,3.0,0.0,16.2
2009-06-01,26.0,10.0,20.3,1003.8,3.0,0.0,18.7
2009-06-02,25.0,13.0,19.6,992.1,5.0,0.0,17.0
2009-06-03,24.0,13.0,18.4,978.5,6.0,5.0,15.5
2009-06-04,17.0,8.0,13.9,981.3,6.0,4.0,9.8
2009-06-05,17.0,7.0,12.6,989.1,5.0,0.0,8.7
2009-06-06,15.0,5.0,10.5,990.2,4.0,4.0,7.6
2009-06-07,18.0,5.0,12.5,992.7,4.0,3.0,9.8
2009-06-08,20.0,9.0,15.4,992.4,6.0,2.0,12.0
2009-06-09,22.0,8.0,16.4,1002.3,2.0,0.0,15.6
2009-06-10,27.0,14.0,20.9,1000.2,3.0,7.0,20.6
2009-06-11,28.0,16.0,21.6,996.8,3.0,6.0,21.5
2009-06-12,28.0,16.0,21.7,993.8,4.0,1.0,20.8
2009-06-13,28.0,16.0,21.6,989.9,4.0,1.0,20.7
2009-06-14,21.0,11.0,16.8,995.8,3.0,1.0,15.7
2009-06-15,21.0,10.0,16.7,997.3,3.0,0.0,15.0
2009-06-16,23.0,10.0,18.3,997.4,2.0,0.0,17.3
2009-06-17,19.0,8.0,13.9,991.5,5.0,1.0,10.8
2009-06-18,17.0,7.0,12.7,996.6,4.0,0.0,9.6
2009-06-19,18.0,8.0,13.4,995.3,4.0,2.0,10.6
2009-06-20,16.0,12.0,13.9,996.9,3.0,5.0,12.6
2009-06-21,18.0,11.0,14.7,1002.5,2.0,1.0,14.2
2009-06-22,22.0,12.0,17.7,1006.0,4.0,0.0,15.8
2009-06-23,25.0,13.0,19.8,1005.2,6.0,0.0,16.4
2009-06-24,19.0,13.0,15.6,1004.1,5.0,0.0,12.8
2009-06-25,14.0,13.0,13.1,1004.2,6.0,3.0,9.8
2009-06-26,19.0,12.0,15.5,1007.0,6.0,2.0,12.2
2009-06-27,25.0,12.0,19.3,1007.2,4.0,0.0,17.5
2009-06-28,27.0,16.0,22.7,1001.1,4.0,0.0,21.2
2009-06-29,22.0,11.0,18.1,1001.5,4.0,0.0,16.4
2009-06-30,20.0,8.0,15.2,1007.2,3.0,0.0,13.0
2009-07-01,23.0,8.0,17.1,1006.3,2.0,0.0,15.8
2009-07-02,24.0,13.0,18.0,997.0,4.0,11.0,16.5
2009-07-03,20.0,9.0,15.6,986.8,4.0,1.0,13.4
2009-07-04,14.0,8.0,10.9,985.1,4.0,0.0,7.7
2009-07-05,11.0,8.0,9.7,981.5,3.0,9.0,7.7
2009-07-06,16.0,7.0,10.4,984.7,4.0,10.0,7.5
2009-07-07,19.0,6.0,13.9,994.1,2.0,0.0,12.4
2009-07-08,22.0,9.0,17.5,995.0,3.0,0.0,16.0
2009-07-09,23.0,15.0,18.6,991.0,3.0,7.0,18.3
2009-07-10,18.0,12.0,15.8,992.7,4.0,21.0,14.5
2009-07-11,25.0,12.0,19.3,997.2,2.0,0.0,18.9
2009-07-12,27.0,13.0,20.8,998.4,2.0,0.0,20.5
2009-07-13,29.0,14.0,22.6,994.8,4.0,0.0,21.9
2009-07-14,30.0,19.0,23.4,994.7,4.0,7.0,23.3
2009-07-15,25.0,14.0,20.2,1002.3,3.0,3.0,19.5
2009-07-16,28.0,14.0,22.0,1003.0,1.0,0.0,22.4
2009-07-17,28.0,15.0,22.7,996.0,3.0,0.0,22.2
2009-07-18,28.0,16.0,21.9,996.2,2.0,0.0,21.5
2009-07-19,28.0,15.0,22.3,994.8,2.0,0.0,22.2
2009-07-20,27.0,16.0,21.6,991.5,3.0,4.0,21.5
2009-07-21,24.0,15.0,19.4,990.2,4.0,11.0,18.2
2009-07-22,21.0,11.0,16.0,991.3,5.0,0.0,13.3
2009-07-23,24.0,12.0,17.9,995.0,2.0,0.0,17.2
2009-07-24,26.0,11.0,19.9,994.8,2.0,0.0,19.2
2009-07-25,26.0,15.0,19.9,989.5,4.0,0.0,19.0
2009-07-26,26.0,15.0,20.8,988.7,3.0,1.0,20.8
2009-07-27,24.0,15.0,19.9,987.8,4.0,6.0,18.4
2009-07-28,24.0,13.0,18.7,993.8,3.0,0.0,17.8
2009-07-29,25.0,15.0,20.4,999.6,3.0,1.0,19.8
2009-07-30,26.0,17.0,20.9,999.7,3.0,0.0,20.3
2009-07-31,27.0,15.0,21.2,997.1,3.0,0.0,20.5
2009-08-01,27.0,14.0,20.9,995.6,2.0,0.0,20.9
2009-08-02,21.0,12.0,17.2,996.2,3.0,26.0,16.4
2009-08-03,22.0,11.0,17.2,996.4,2.0,0.0,16.7
2009-08-04,18.0,13.0,15.4,995.2,3.0,4.0,14.4
2009-08-05,22.0,10.0,16.1,998.2,5.0,0.0,13.3
2009-08-06,21.0,9.0,15.8,1001.0,3.0,0.0,14.1
2009-08-07,17.0,9.0,13.6,1002.3,4.0,0.0,10.9
2009-08-08,19.0,8.0,13.0,1001.4,4.0,0.0,10.3
2009-08-09,17.0,8.0,12.3,1002.9,3.0,0.0,10.0
2009-08-10,22.0,6.0,15.4,1003.3,2.0,0.0,14.2
2009-08-11,25.0,10.0,18.0,1000.6,2.0,0.0,17.1
2009-08-12,24.0,12.0,18.7,997.0,3.0,0.0,17.3
2009-08-13,25.0,12.0,18.3,990.8,4.0,0.0,16.3
2009-08-14,17.0,12.0,14.3,985.7,6.0,11.0,11.2
2009-08-15,16.0,11.0,12.9,988.9,7.0,4.0,8.8
2009-08-16,20.0,10.0,15.8,995.4,6.0,2.0,12.2
2009-08-17,26.0,15.0,18.7,992.6,6.0,0.0,15.8
2009-08-18,25.0,14.0,18.7,991.9,4.0,16.0,17.5
2009-08-19,19.0,12.0,15.3,992.8,5.0,6.0,12.7
2009-08-20,16.0,10.0,12.3,999.2,6.0,0.0,8.3
2009-08-21,12.0,10.0,10.7,1000.9,5.0,0.0,7.5
2009-08-22,17.0,11.0,13.8,997.8,6.0,0.0,10.6
2009-08-23,17.0,9.0,14.1,997.8,3.0,0.0,13.0
2009-08-24,19.0,8.0,13.6,994.1,2.0,10.0,12.9
2009-08-25,17.0,9.0,13.7,995.1,3.0,3.0,12.5
2009-08-26,20.0,9.0,14.3,1001.1,3.0,0.0,12.5
2009-08-27,20.0,8.0,15.6,999.6,2.0,0.0,14.8
2009-08-28,21.0,11.0,16.4,994.6,2.0,4.0,16.2
2009-08-29,21.0,10.0,15.9,996.0,2.0,0.0,15.5
2009-08-30,21.0,10.0,16.9,997.4,2.0,0.0,16.6
2009-08-31,18.0,11.0,15.0,1000.8,3.0,0.0,13.6
2009-09-01,22.0,9.0,15.1,1006.4,1.0,0.0,14.8
2009-09-02,24.0,9.0,17.1,1006.7,2.0,0.0,16.7
2009-09-03,25.0,11.0,18.7,1003.7,3.0,0.0,17.2
2009-09-04,25.0,10.0,16.6,1001.3,3.0,0.0,14.7
2009-09-05,25.0,10.0,17.8,998.8,4.0,0.0,15.4
2009-09-06,19.0,13.0,15.8,998.8,3.0,3.0,14.9
2009-09-07,17.0,13.0,14.1,1003.8,3.0,0.0,12.9
2009-09-08,20.0,11.0,15.3,1011.1,1.0,1.0,15.6
2009-09-09,22.0,9.0,15.4,1012.4,1.0,0.0,15.3
2009-09-10,23.0,8.0,15.8,1008.5,2.0,0.0,15.1
2009-09-11,22.0,9.0,15.2,1003.9,2.0,0.0,14.5
2009-09-12,19.0,10.0,14.3,1001.5,3.0,6.0,12.8
2009-09-13,19.0,9.0,13.8,1000.4,2.0,0.0,12.9
2009-09-14,22.0,8.0,15.1,1004.1,2.0,0.0,14.4
2009-09-15,20.0,9.0,14.9,1006.4,2.0,0.0,13.8
2009-09-16,21.0,6.0,14.4,1002.7,2.0,0.0,13.1
2009-09-17,21.0,9.0,14.2,992.7,4.0,6.0,12.1
2009-09-18,14.0,4.0,9.3,995.9,4.0,6.0,6.2
2009-09-19,13.0,2.0,8.9,1000.8,3.0,0.0,6.4
2009-09-20,16.0,10.0,12.0,999.6,3.0,0.0,10.3
2009-09-21,19.0,10.0,14.1,1000.5,4.0,0.0,11.8
2009-09-22,19.0,7.0,12.2,996.8,4.0,0.0,9.6
2009-09-23,16.0,9.0,12.9,990.3,6.0,0.0,9.2
2009-09-24,16.0,6.0,12.0,987.6,5.0,0.0,8.6
2009-09-25,11.0,5.0,8.4,989.2,4.0,11.0,5.5
2009-09-26,12.0,7.0,8.7,998.4,5.0,2.0,4.8
2009-09-27,15.0,7.0,11.5,1000.4,5.0,1.0,8.4
2009-09-28,13.0,11.0,12.1,991.2,5.0,0.0,9.2
2009-09-29,13.0,9.0,11.1,977.6,5.0,4.0,8.0
2009-09-30,9.0,2.0,5.3,983.7,5.0,3.0,1.0
2009-10-01,11.0,1.0,6.3,987.2,5.0,1.0,2.1
2009-10-02,8.0,3.0,5.9,977.2,8.0,4.0,-0.1
2009-10-03,9.0,1.0,4.2,993.5,4.0,0.0,0.4
2009-10-04,12.0,3.0,8.6,990.9,7.0,0.0,3.2
2009-10-05,13.0,6.0,9.3,981.6,8.0,1.0,3.4
2009-10-06,9.0,2.0,5.3,992.6,8.0,0.0,-1.1
2009-10-07,10.0,-2.0,5.8,999.6,5.0,0.0,1.3
2009-10-08,16.0,8.0,12.2,988.3,6.0,3.0,8.5
2009-10-09,7.0,4.0,5.7,987.5,3.0,41.0,3.0
2009-10-10,6.0,-2.0,2.2,1004.5,3.0,2.0,-1.1
2009-10-11,7.0,-3.0,2.4,1006.0,2.0,0.0,-0.4
2009-10-12,11.0,2.0,6.5,990.9,5.0,12.0,2.7
2009-10-13,13.0,6.0,8.1,990.9,2.0,1.0,6.5
2009-10-14,17.0,10.0,12.7,990.4,4.0,0.0,10.6
2009-10-15,12.0,3.0,8.4,1003.4,2.0,0.0,6.5
2009-10-16,11.0,2.0,7.4,1004.3,4.0,0.0,3.8
2009-10-17,11.0,0.0,6.1,996.9,4.0,10.0,2.7
2009-10-18,6.0,-2.0,2.3,1004.0,2.0,0.0,-0.6
2009-10-19,5.0,0.0,2.2,1003.5,2.0,5.0,-0.4
2009-10-20,8.0,-3.0,2.0,1008.1,2.0,0.0,-0.8
2009-10-21,7.0,-1.0,3.9,1007.7,4.0,0.0,0.0
2009-10-22,8.0,3.0,5.9,1003.2,5.0,6.0,2.0
2009-10-23,9.0,6.0,8.0,998.9,3.0,15.0,5.8
2009-10-24,7.0,4.0,6.2,998.6,4.0,4.0,3.0
2009-10-25,4.0,2.0,3.0,1009.8,4.0,0.0,-0.8
2009-10-26,5.0,2.0,3.4,1007.5,4.0,0.0,-0.4
2009-10-27,6.0,5.0,5.7,996.5,4.0,16.0,2.4
2009-10-28,7.0,5.0,6.4,986.3,3.0,11.0,3.9
2009-10-29,6.0,0.0,3.3,986.6,5.0,1.0,-1.1
2009-10-30,0.0,-2.0,-1.1,996.4,7.0,1.0,-7.6
2009-10-31,0.0,-3.0,-1.9,1000.8,5.0,0.0,-7.1
2009-11-01,0.0,-4.0,-1.7,1004.1,4.0,1.0,-6.2
2009-11-02,1.0,-3.0,-1.1,1005.1,2.0,0.0,-4.2
2009-11-03,0.0,-1.0,-0.6,1005.1,2.0,0.0,-3.6
2009-11-04,-1.0,-7.0,-2.4,1004.6,3.0,0.0,-6.4
2009-11-05,0.0,-7.0,-3.6,1008.5,4.0,0.0,-8.3
2009-11-06,0.0,-4.0,-2.1,1007.8,4.0,3.0,-6.6
2009-11-07,2.0,0.0,1.5,1006.5,4.0,1.0,-2.4
2009-11-08,5.0,2.0,3.8,1001.0,4.0,15.0,0.2
2009-11-09,4.0,0.0,2.1,1007.0,4.0,2.0,-1.7
2009-11-10,3.0,0.0,1.3,1004.6,5.0,1.0,-3.3
2009-11-11,3.0,2.0,2.7,995.8,4.0,0.0,-1.1
2009-11-12,3.0,2.0,2.2,993.0,4.0,0.0,-1.6
2009-11-13,8.0,3.0,6.1,996.5,3.0,2.0,3.5
2009-11-14,4.0,3.0,3.7,1005.0,3.0,7.0,0.8
2009-11-15,4.0,0.0,2.8,1006.6,4.0,1.0,-0.9
2009-11-16,0.0,-1.0,0.0,1004.6,3.0,7.0,-3.4
2009-11-17,0.0,-1.0,-0.1,1002.7,2.0,3.0,-2.9
2009-11-18,1.0,0.0,0.3,998.2,3.0,0.0,-3.1
2009-11-19,1.0,0.0,0.6,991.6,2.0,2.0,-2.1
2009-11-20,1.0,-1.0,0.4,998.1,2.0,0.0,-2.4
2009-11-21,6.0,1.0,3.1,993.2,4.0,2.0,-0.6
2009-11-22,7.0,3.0,4.9,988.4,6.0,3.0,0.0
2009-11-23,4.0,3.0,3.2,991.9,4.0,0.0,-0.6
2009-11-24,6.0,3.0,4.4,984.4,4.0,6.0,0.9
2009-11-25,6.0,4.0,4.9,981.8,6.0,7.0,0.1
2009-11-26,7.0,3.0,4.7,989.5,5.0,0.0,0.5
2009-11-27,7.0,3.0,5.0,990.8,6.0,1.0,0.1
2009-11-28,6.0,4.0,4.6,992.9,5.0,1.0,0.3
2009-11-29,5.0,3.0,3.9,994.4,4.0,0.0,0.2
2009-11-30,4.0,1.0,3.1,998.9,4.0,6.0,-0.7
2009-12-01,6.0,2.0,3.7,1003.2,5.0,0.0,-0.7
2009-12-02,9.0,6.0,7.4,999.8,5.0,0.0,3.7
2009-12-03,8.0,5.0,7.6,998.6,4.0,1.0,4.6
2009-12-04,5.0,1.0,3.1,1002.2,3.0,0.0,-0.0
2009-12-05,1.0,-5.0,-1.8,1009.6,7.0,0.0,-8.2
2009-12-06,-4.0,-7.0,-5.0,1012.6,5.0,0.0,-10.5
2009-12-07,-4.0,-7.0,-5.3,1010.7,4.0,6.0,-10.1
2009-12-08,-5.0,-11.0,-6.9,1011.2,3.0,2.0,-11.2
2009-12-09,-3.0,-6.0,-4.3,1010.1,3.0,0.0,-8.3
2009-12-10,-4.0,-5.0,-4.5,1011.5,4.0,1.0,-9.2
2009-12-11,-5.0,-7.0,-6.4,1011.4,5.0,0.0,-12.0
2009-12-12,-7.0,-11.0,-8.7,1007.0,2.0,0.0,-12.5
2009-12-13,-4.0,-13.0,-7.2,999.1,3.0,0.0,-11.5
2009-12-14,-9.0,-24.0,-19.2,1003.0,4.0,1.0,-25.1
2009-12-15,-21.0,-28.0,-25.0,1007.2,1.0,0.0,-29.2
2009-12-16,-21.0,-28.0,-23.5,1008.1,3.0,0.0,-28.9
2009-12-17,-17.0,-26.0,-21.7,1011.0,2.0,0.0,-26.4
2009-12-18,-14.0,-24.0,-19.8,1004.6,3.0,0.0,-25.0
2009-12-19,-14.0,-21.0,-17.8,1001.1,3.0,0.0,-22.9
2009-12-20,-11.0,-18.0,-14.6,996.5,6.0,3.0,-21.5
2009-12-21,-6.0,-16.0,-10.0,986.4,6.0,10.0,-16.5
2009-12-22,-11.0,-17.0,-14.3,998.5,3.0,0.0,-19.2
2009-12-23,2.0,-16.0,-5.1,997.2,5.0,0.0,-10.5
2009-12-24,2.0,-3.0,-0.3,993.2,6.0,2.0,-5.9
2009-12-25,-1.0,-7.0,-3.4,998.3,3.0,0.0,-7.3
2009-12-26,4.0,-1.0,1.4,980.0,5.0,8.0,-3.2
2009-12-27,2.0,0.0,0.9,977.5,6.0,1.0,-4.4
2009-12-28,0.0,-9.0,-3.4,988.3,5.0,0.0,-8.7
2009-12-29,-1.0,-9.0,-5.8,971.9,8.0,6.0,-13.2
2009-12-30,-1.0,-12.0,-7.3,968.9,5.0,10.0,-12.9
2009-12-31,-6.0,-12.0,-8.7,979.6,2.0,4.0,-12.5
2010-01-01,-8.0,-17.0,-13.3,986.3,1.0,0.0,-16.8
2010-01-02,-14.0,-17.0,-14.8,987.2,2.0,0.0,-19.1
2010-01-03,-16.0,-22.0,-18.8,988.0,4.0,0.0,-24.6
2010-01-04,-12.0,-24.0,-17.5,993.8,4.0,0.0,-23.2
2010-01-05,-11.0,-15.0,-12.6,1001.8,4.0,0.0,-18.0
2010-01-06,-12.0,-17.0,-15.1,1008.0,3.0,0.0,-20.0
2010-01-07,-9.0,-16.0,-11.6,1002.3,6.0,6.0,-18.2
2010-01-08,-5.0,-9.0,-6.8,1001.9,4.0,6.0,-11.7
2010-01-09,-6.0,-21.0,-11.2,1012.6,3.0,1.0,-15.9
2010-01-10,-13.0,-22.0,-18.7,1015.6,1.0,0.0,-22.6
2010-01-11,-11.0,-21.0,-16.4,1010.7,1.0,0.0,-20.1
2010-01-12,-9.0,-20.0,-15.3,1005.2,2.0,0.0,-19.6
2010-01-13,-7.0,-14.0,-9.6,1000.8,3.0,0.0,-14.1
